@relation sift

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute feat60 numeric
@attribute feat61 numeric
@attribute feat62 numeric
@attribute feat63 numeric
@attribute feat64 numeric
@attribute feat65 numeric
@attribute feat66 numeric
@attribute feat67 numeric
@attribute feat68 numeric
@attribute feat69 numeric
@attribute feat70 numeric
@attribute feat71 numeric
@attribute feat72 numeric
@attribute feat73 numeric
@attribute feat74 numeric
@attribute feat75 numeric
@attribute feat76 numeric
@attribute feat77 numeric
@attribute feat78 numeric
@attribute feat79 numeric
@attribute feat80 numeric
@attribute feat81 numeric
@attribute feat82 numeric
@attribute feat83 numeric
@attribute feat84 numeric
@attribute feat85 numeric
@attribute feat86 numeric
@attribute feat87 numeric
@attribute feat88 numeric
@attribute feat89 numeric
@attribute feat90 numeric
@attribute feat91 numeric
@attribute feat92 numeric
@attribute feat93 numeric
@attribute feat94 numeric
@attribute feat95 numeric
@attribute feat96 numeric
@attribute feat97 numeric
@attribute feat98 numeric
@attribute feat99 numeric
@attribute feat100 numeric
@attribute feat101 numeric
@attribute feat102 numeric
@attribute feat103 numeric
@attribute feat104 numeric
@attribute feat105 numeric
@attribute feat106 numeric
@attribute feat107 numeric
@attribute feat108 numeric
@attribute feat109 numeric
@attribute feat110 numeric
@attribute feat111 numeric
@attribute feat112 numeric
@attribute feat113 numeric
@attribute feat114 numeric
@attribute feat115 numeric
@attribute feat116 numeric
@attribute feat117 numeric
@attribute feat118 numeric
@attribute feat119 numeric
@attribute feat120 numeric
@attribute feat121 numeric
@attribute feat122 numeric
@attribute feat123 numeric
@attribute feat124 numeric
@attribute feat125 numeric
@attribute feat126 numeric
@attribute feat127 numeric

@data
0.005214,0.021056,0.083561,0.02774,0,0,0,0,0.030843,0.00747,0.016618,0.013962,0,0,0,0.013844,0,0,0.04193,0.158334,0.010974,0.013978,0.00159,0,0.001699,0.000853,0.004261,0.00093,0.004145,0.031509,0.0122,0.00266,0.030027,0.079484,0.013349,0,0,0,0,0,0.068371,0.017076,0.002237,0.009106,0.002032,0.00127,0.001879,0.042195,0.002236,0.007565,0.029878,0.150088,0.033223,0.005386,0.000056,0,0.00019,0.01076,0.021087,0.010436,0.000435,0.001106,0.001095,0,0.03668,0.089831,0.00065,0,0,0,0,0,0.2,0.016309,0,0,0,0,0,0.028286,0.014371,0.013342,0.031303,0.12455,0.033389,0.003503,0,0.004624,0.004579,0.001234,0.000707,0.010489,0.010565,0,0,0.0109,0.050446,0.018232,0,0,0,0,0,0.005834,0.085479,0.002025,0,0,0,0,0.000988,0.039709,0.030504,0.004565,0.000361,0.014729,0.012799,0.000339,0.006653,0.023449,0.000823,0,0,0.004789,0.007786,0.019146,0.049019,0.002278
0.004462,0.007692,0.027347,0.009663,0,0,0,0,0.002147,0.025776,0.022021,0.002856,0.000013,0,0,0,0.001135,0.050143,0.005164,0,0,0,0,0,0.000888,0.035928,0.001817,0,0,0,0,0,0.036755,0.022943,0.004152,0,0,0,0,0.000127,0,0.020869,0.062632,0.046101,0,0,0,0,0.028643,0.099757,0.004459,0,0,0,0,0,0.000067,0.10193,0.094618,0,0,0,0,0,0.029596,0.05733,0.012166,0,0,0,0,0,0.003321,0.062198,0.048418,0.051376,0.000844,0,0,0,0,0.082753,0.2,0.045407,0,0,0,0,0,0.117311,0.108029,0,0,0,0,0,0,0.020672,0.064907,0.002078,0,0,0,0,0.000103,0.106805,0.145732,0,0,0,0,0,0,0.019841,0.121869,0.012113,0,0,0,0,0.000312,0.005049,0.002556,0.000868,0,0,-0.00004,0.000089
0,0,0.020773,0.012507,0,0,0,0,0,0,0.031281,0.181158,0,0,0,0,-0.000988,0.016908,0.029261,0.038237,0,0,0,0,-0.003873,0.030279,0,0,0,0,0,0,0,0.000803,0.05633,0.010079,0,0,0,0,0,0.000055,0.071453,0.2,0,0,0,0,0,0.000558,0.015149,0.044877,0.000657,0,0,0,-0.000458,0.00356,0.000091,0.000024,0.000015,0,0,0,0,0,0.00455,0.023993,0.04311,0.007237,0,0,0,0,0.003826,0.126222,0.097103,0.004258,0,0,0,0,0.001113,0.076002,0.032713,0,0,0,0,0,0.000157,0.000498,0.000207,0,0,0,0,0.007519,0.039511,0.008889,0,0,0,0,0,0,0.046164,0.091964,0.001178,0,0,0,0,0,0.000697,0.098105,0.007202,0,0,0,0,0,0.000051,0.000122,0,0,0,0
0,0.007359,0.034193,0.000147,0,0,0,0,0,0.006759,0.074137,0.017522,0,0,0,0,0,0.003715,0.177161,0.066891,0,0,0,0,0.058304,0.033122,0.004969,0,0,0,0,-0.020361,0,0.012196,0.035755,0.030815,0.013052,0,0,0,0,0.01949,0.164164,0.073981,0.002097,0,0,0,0,0,0.120009,0.038404,0,0,0,0,0.022472,0.003441,0.000123,0,0,0,0,-0.008464,0,0.025822,0.034915,0.017452,0.019016,0,0,0,0,0.000875,0.076637,0.2,0.01825,0,0,0,0,0,0.011162,0.035989,0.003774,0,0,0,0.000894,0.000076,0.000035,0.000126,0.000016,0,0,-0.000348,0,0.005904,0.041798,0.023196,0,0,0,0,0,0,0.097505,0.092208,0,0,0,0,0,0.00003,0.005266,0.002854,0,0,0,0,0,0,0.000019,0.000011,0,0,0,0
0,0.002171,0.002165,0.036541,0.017979,0.004944,-0.032341,0.12795,0.004627,0.000993,0,0.045755,0.055019,0,-0.021959,0.060177,0.012256,0.022215,0.001402,0,0,0,-0.036747,0.139624,0.043094,0.06564,0.00436,0,0,0,-0.011159,0.018646,0.002667,0.009525,0.012684,0.01003,0.001639,0.009049,-0.025602,0.080108,0.021548,0,0.033899,0.117417,0.0583,0.003498,-0.00891,0.023453,0.02909,0.094329,0.020206,0,0,0,-0.007627,0.045977,0.002989,0.077149,0.071051,0,0,0,0,0,0,0.010514,0.022129,0.015873,0.029248,0.019769,0.001142,0,0.018887,0.005841,0.006767,0.056307,0.061073,0.007742,0.01299,0.042942,0,0.010621,0.014115,0.033259,0.069659,0.007422,-0.001703,0.006006,0.000411,0.034753,0.03156,0.000919,0.016863,0.042381,0.001442,0,0,0,0,0,0.074236,0.171619,0.000474,0,0,0,0,0.000469,0.028838,0.184804,0.048344,0.007785,0,0,0,0.001175,0.113145,0.2,0.000729,0,0,0,0,0,0.051712,0.158119,0.000453,0
0.000587,0.004736,0.012723,0.004281,0.021046,0.01335,0,0,0,0,0.003188,0.091093,0.003885,0,0.020996,0.039639,0,0,0.003103,0.025448,0.001049,0,0.007794,0.066028,0.02024,0.004217,0,0,0,0,0.017726,0.06434,0.003908,0.026444,0.016303,0.015705,0.004604,0.003506,0,0,0.018965,0.001213,0.078596,0.064106,0.001272,0,-0.029178,0.099931,0.032903,0.022343,0,0.012438,0.001859,0,0.014335,0.063458,0.032066,0.058968,0,0,0,0,-0.010666,0.030272,0,0,0,0.024024,0.097333,0.019412,0.019356,0.001238,0,0,0.007316,0.122143,0.026034,0.002824,0.028363,0.002692,0.038666,0.044199,0.020112,0.006575,0.001482,0.001709,-0.000316,0.00286,0.024372,0.081915,0.008236,0,0,0,0,0,0,0,0,0,0.188997,0.092102,0,0,0,0,0,0.026833,0.2,0.039229,0,0,0,0,0,0.008373,0.140626,0.052497,0,0,0.002097,0.010326,0.00723,0.00565,0.03468,0.014612,0.001084,0.000469
0,0,0.000732,0.030402,0.0042,0.000016,0,0,0,0,0.000345,0.119867,0.017922,0,0,0,0,0,0.0009,0.118089,0.035488,0,0,0,0,0,0,0.08754,0.038419,0,0,0,0.000587,0.005206,0.003963,0.028084,0.00385,0,0,0,0,0,0,0.09722,0.041665,0,0,0,0,0,0.02473,0.2,0.010248,0,0,0,0,0,0.016188,0.102468,0.016719,0.000977,0,0,0.01774,0.002455,0.000327,0.003882,0.002966,0,0,0.004483,0,0,0.006175,0.132424,0.03526,0,0,0,0,0,0.112735,0.16082,0.014767,0,0,0,0,0,0.014534,0.055474,0.009038,0,0.003236,0.000297,0.01513,0.002514,0.00007,0.007101,0.002206,0,0,0.001808,0.000152,0.006014,0.012352,0.087165,0.007787,0,0,0,0,0,0,0.150297,0.065467,0,0,0,0,0,0,0.0186,0.033633,0.00564,0.002681,0.000275
0,0.069887,0.091846,0.011117,0,0,0,0,0.0036,0.1619,0.089117,0.024248,0.002267,0,0,0,0,0.045561,0.148006,0.051965,0,0,0,0,0.139422,0.034404,0.000178,0,0,0,0,0.028896,0,0.002468,0.124756,0.062518,0,0,0,0,0.003477,0.016968,0.066982,0.018091,0.008974,0.011109,0.049346,0.052686,0.000027,0.011749,0.080771,0.2,0.036107,0.000034,0,0,0.053717,0,0,0,0,0,0.001486,0.141478,0.010479,0.00697,0.086051,0.012206,0,0,0.014724,0.023353,0,0.032076,0.14825,0.029656,0,0.039776,0.03163,0.004667,0.007097,0.019286,0.130486,0.066066,0.014742,0.01533,0.004287,0.000443,0.029925,0.048008,0.027297,0,0,0,0.009055,0.027016,0.013942,0.093671,0.065637,0,0,0,0,0,0.002261,0.110917,0.165897,0,0,0,0,0,0.007318,0.138115,0.121234,0,0,0,0,0,0.058442,0.142681,0.03549,0,0,0,0,0.002896
0,0,0.00546,0.04134,0.067943,0.006515,0,0,0,0.007202,0.042134,0.130735,0.026712,0,0,0,0.107976,0.042024,0.010036,0.010398,0,0,0,0.001524,0.011675,0.059639,0.045354,0.004539,0,0,0,0,0,0.00572,0.135193,0.084963,0.000679,0,0,0,0.019789,0.000979,0.036069,0.04019,0.06029,0.016731,0.009767,0.026389,0.025778,0.000947,0.003232,0.050445,0.159124,0.007255,0.00741,0.007187,0.017254,0.012162,0.058189,0.025576,0,0.003678,0.003153,0.002876,0,0,0.001206,0.121272,0.039214,0,0,0,0.026389,0.000475,0,0.026711,0.018707,0.013251,0.037703,0.041145,0.000637,0.010549,0.035945,0.2,0.020294,0.000859,0.002808,0,0,0.001586,0.151289,0.086807,0,0,0,0,0,0,0.003392,0.103058,0.059833,0,0,0,0.015517,0.023394,0.028101,0.02499,0.002465,0,0,0.014439,0,0.002439,0.122765,0.117805,0,0,0,0,0,0,0.009729,0.133284,0.002413,0,0,0
0,0.028068,0.090568,0.008833,0,0,0,0,0,0,0.061381,0.136499,0.002813,0,0,0,0.005371,0.011543,0.052122,0.039969,0.025556,0.003301,0.000304,0,0.012598,0.07811,0.068539,0.005413,0,0,0,0,0.003664,0.100612,0.08446,0.000062,0,0,0,0,0.007104,0.015341,0.108156,0.035472,0.011335,0.00351,0.000167,0.00664,0,0.005169,0.138716,0.2,0.016318,0,0,0,0.009199,0.052303,0.068672,0.037764,0.010782,0,0,0,0.062815,0.164512,0.015801,0,0,0,0,0,0.024914,0.130007,0.088605,0.001378,0,0,0,0.005164,0.001125,0.034168,0.141823,0.111479,0.010841,0,0,0,0,0.001005,0.035206,0.029548,0.03634,0.007474,0.000979,0,0.13948,0.05052,0.004102,0.004261,0,0,0,0.015558,0.006161,0.061135,0.113631,0.005324,0,0,0,0,0.007642,0.162314,0.061006,0,0,0,0,0,0,0.040652,0.104346,0.017731,0,0,0,0
0,0,0.002856,0.049682,0.047503,0,0,0,0.022666,0.045082,0.053406,0.004988,0,0,-0.002956,0.007343,0.018475,0.019258,0.020782,0.008375,0,0.006061,0.010031,0.054611,0.119975,0.103197,0.009976,0,0,0,-0.019307,0.045843,0,0.008818,0.065415,0.144345,0.032616,0,0,0,0.008582,0.027294,0.037284,0.08887,0.023531,0,0,0,0.035814,0.091275,0.032143,0,0.004919,0.003587,0.012617,0.043419,0.028981,0.007893,0.025435,0.040041,0.019905,0.001421,-0.013528,0.037286,0,0.021414,0.052809,0.2,0.035332,0.006855,-0.001803,0.004089,0.021573,0.021151,0.042559,0.036853,0.019165,0.020551,-0.003088,0.014681,0.024668,0.056619,0.040682,0.009447,0.000159,0.008526,0.057448,0.015004,0.000147,0.002601,0.028769,0.019516,0.000199,0.006252,0.030206,0.007278,0,0,0.030888,0.120371,0.023094,0.003406,0.004005,0.00009,0,0,0.004138,0.019128,0.098166,0.036611,0.004817,0,0.017389,0.001334,0.007689,0.007087,0.031125,0.0443,0.010041,0.001,0.021563,0.032321,0,0,0,0.001745,0.051403,0.034743
0,0,0,0.168777,0.032452,0,0,0,0,0,0,0.068202,0.039081,0.019858,0.006347,0.000952,0.030518,0.00262,0,0,0.002087,0.005624,-0.006139,0.032371,0.014356,0.002214,0.009028,0.003156,0,0,-0.011107,0.049188,0,0,0.01494,0.159478,0.040618,0,0,0,0,0,0.020059,0.085215,0.077604,0.014163,0,0,-0.000118,0.001815,0.012909,0.01121,0.006736,0.007676,0.009763,0.001137,0.046256,0.00288,0,0,0.004571,0.00691,-0.002052,-0.011753,0,0,0.02275,0.2,0.001002,0,0,0,-0.00034,0.000996,0.03219,0.082149,0.016632,0.00363,0.002196,0.000938,-0.000491,0.004219,0.007287,0.011361,0.019867,0.021583,0.010591,0.004646,0.030655,0.007457,0,0.009533,0.013449,0.007637,0.000092,-0.009777,0,-0.001516,0.01721,0.159398,0.004297,0,0,0,0.010837,-0.000069,0.007011,0.037144,0.024238,0.009303,0,-0.004049,-0.00476,0.011621,0.008179,0.018742,0.016697,0.00257,0.003637,0.000267,0,0,0.001908,0.005015,0.004297,0.018638,0.016597,0.001722
0,0,0,0.109458,0.097663,0,0,0,0.014906,0.002199,0,0,0.0102,0.011553,0.003837,0.037268,0.036145,0.012781,0,0,0.001709,0.001089,-0.010877,0.028519,0.021309,0.028316,0.003994,0.009925,0.011554,0,0,-0.012148,0,0,0,0.075322,0.2,0.005011,0,0,0,-0.008712,0.022709,0.044537,0.057721,0.055983,0.002967,0,0.000871,0.001171,0.008291,0.003287,0.002739,0.007147,0.015059,0.006701,0.000174,0.007546,0,0.002813,0.015904,0.016978,0.007175,-0.000831,0,0,0,0.147215,0.069993,0,0,0,0,-0.015665,0.039214,0.108384,0.051194,0,0,0,0.002574,-0.00044,0.003829,0.014327,0.028971,0.035913,0.005007,0.005612,0.00435,0.037004,0,0.004546,0.011412,0.008199,0.013093,-0.00088,0,0,0,0.086276,0.049982,0,0,0,0,0,0,0.1137,0.080836,0.000984,0,0,0.003734,0.010136,0.007615,0.010642,0.01723,0.014786,0.001493,-0.00269,0,0,0,0.000431,0.00742,0.007631,0.024714,0.005349
0.043553,0.043141,0.030619,0.005114,0,0,0,0.000297,0,0.019812,0.088944,0.024768,0.00005,0,0,0,0,0.013745,0.12017,0.057687,0,0,0,0,0.028662,0.071159,0.029534,0,0,0,0,0.002874,0.150364,0.060614,0.001623,0,0,0,0,0,0.014186,0.027549,0.020821,0.029878,0.006465,0.006687,0.000161,0.00479,0,0,0.05215,0.2,0.030819,0,0,0,0.002866,0.001574,0.006211,0.009225,0.003998,0.002622,0.010926,0.046343,0.035279,0.001434,0.008898,0.00372,0.001533,0.007531,0.032254,0.082492,0.038982,0.009476,0,0,0.002026,0.018583,0.030718,0.018176,0,0,0.013524,0.187775,0.032789,0.020161,0.004873,0,0.002647,0,0,0,0.02166,0.061595,0.031549,0.011674,0,0,0,0,0.001149,0.035395,0.062591,0.007176,0,0,0,0.004505,0.01693,0.028741,0.062231,0.022048,0,0,0,0.03284,0.085997,0.042863,0.015561,0,0,0.002962,0.001377,0.001223,0.019767,0.036872,0.022176,0
